Categories,year,flesch_kincaid_Mean,smog_Mean,length_Mean,total,flesch_kincaid_Count,flesch_kincaid_Sum,flesch_kincaid_Max,flesch_kincaid_Min,smog_Count,smog_Sum,smog_Max,smog_Min,length_Count,length_Sum,,length_Max,length_Min,ChildCount,Count_Parental,Count_Guardian,Count_Child,Count_Underage,Count_Kid,Count_Young,Count_Youth,Count_Under1,Count_Under_1,Count_Ageof1
adult,2010,13.70586637,15.6243826,6399.863372,1032,971,13308.39624,19.42908983,5.672547116,543,8484.03975,19.38786093,8.648137235,1032,6604659,FALSE,34485,185,314,79,26,874,0,25,49,2,0,346,367
adult,2011,13.54408099,15.60757739,6747.924708,1368,1308,17715.65794,19.42908983,5.672547116,872,13609.80748,19.38786093,8.648137235,1368,9231161,FALSE,34497,185,423,80,69,964,0,39,79,4,0,419,524
adult,2012,13.78623483,15.69482644,6898.486705,1730,1437,19810.81946,18.79549268,5.672547116,938,14721.7472,19.38786093,8.648137235,1730,11934382,FALSE,34497,185,461,85,57,868,0,38,103,4,0,471,563
adult,2013,13.91295532,15.72738909,7007.881232,2046,1753,24389.41067,18.79549268,5.672547116,1163,18290.95351,19.71903059,8.648137235,2046,14338125,FALSE,48054,185,623,189,57,1272,0,52,113,2,0,817,840
adult,2014,13.97489773,15.82695161,7025.497594,2078,1799,25140.84101,18.77548353,5.672547116,1237,19577.93915,19.71903059,8.648137235,2078,14598984,FALSE,48054,185,689,193,71,1286,2,44,108,3,0,845,974
adult,2015,13.94322919,15.77280354,7366.893048,2244,2003,27928.28806,22.71614286,5.672547116,1401,22097.69776,19.71903059,8.648137235,2244,16531308,FALSE,48060,185,801,290,58,1416,0,44,95,4,0,1021,1121
adult,2016,13.7935462,15.67348948,8482.159189,2318,2105,29035.41475,22.51622222,5.672547116,1463,22930.31511,19.71903059,8.648137235,2318,19661645,FALSE,51000,185,851,311,62,1856,0,33,72,2,0,1048,969
adult,2017,13.55823373,15.63622118,10129.23262,2330,2142,29041.73665,22.51622222,5.672547116,1430,22359.79628,21.69918705,8.648137235,2330,23601112,FALSE,210553,502,829,208,139,2198,0,47,103,1,0,701,691
adult,2018,13.41199078,15.61610945,12166.47938,1673,1631,21874.95697,18.56811463,7.22,1148,17927.29365,19.71903059,10.65027996,1673,20354520,FALSE,109201,185,664,118,55,1107,2,25,139,0,0,477,565
adult,2019,13.36284648,15.64753387,13974.48633,1682,1634,21834.89115,18.10629355,5.672547116,1247,19512.47473,18.8434795,8.648137235,1682,23505086,FALSE,109764,185,662,111,68,992,4,14,169,0,0,617,664
adult;advertising;business,2017,14.45407343,18.35118386,42130,1,1,14.45407343,14.45407343,14.45407343,1,18.35118386,18.35118386,18.35118386,1,42130,FALSE,42130,42130,1,0,0,6,0,0,0,0,0,0,0
adult;advertising;business,2018,14.91456771,18.02249311,38061,2,2,29.82913541,15.37506199,14.45407343,2,36.04498622,18.35118386,17.69380237,2,76122,FALSE,42130,33992,2,0,0,7,0,0,0,0,0,0,1
adult;advertising;business,2019,15.36642337,17.65640897,33985,1,1,15.36642337,15.36642337,15.36642337,1,17.65640897,17.65640897,17.65640897,1,33985,TRUE,33985,33985,1,0,0,1,0,0,0,0,0,0,1
adult;blogsandpersonal,2007,13.34924091,14.83674596,15632,1,1,13.34924091,13.34924091,13.34924091,1,14.83674596,14.83674596,14.83674596,1,15632,TRUE,15632,15632,1,0,0,0,0,0,0,0,0,1,0
adult;blogsandpersonal,2011,10.62006743,12.74508487,8506,1,1,10.62006743,10.62006743,10.62006743,1,12.74508487,12.74508487,12.74508487,1,8506,TRUE,8506,8506,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal,2012,10.62006743,12.74508487,8506,2,2,21.24013487,10.62006743,10.62006743,2,25.49016974,12.74508487,12.74508487,2,17012,FALSE,8506,8506,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal,2013,12.38692388,13.61591474,12767.33333,3,3,37.16077164,15.73070733,10.71503215,3,40.84774423,15.02112968,12.91330727,3,38302,FALSE,21340,8481,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal,2014,12.16166252,14.05800258,17231,4,4,48.6466501,13.6082929,10.71503215,4,56.23201033,15.20269789,12.91330727,4,68924,FALSE,25981,8481,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal,2015,11.2603407,14.31402892,12433,2,2,22.52068141,11.2603407,11.2603407,2,28.62805784,14.31402892,14.31402892,2,24866,TRUE,12433,12433,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal,2016,11.98233608,14.3651233,13852,4,4,47.92934434,13.62288477,11.2603407,4,57.46049319,15.06678064,13.76565471,4,55408,FALSE,26174,4368,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal,2017,12.80969777,14.70537735,15636,4,4,51.23879106,13.83361737,11.78577816,4,58.82150941,15.6451,13.76565471,4,62544,FALSE,26904,4368,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal,2018,11.38176925,13.76565471,2197.285714,7,7,79.67238473,11.78577816,11.22016568,2,27.53130941,13.76565471,13.76565471,7,15381,TRUE,4368,1329,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal,2019,11.22016568,,1329,4,4,44.88066272,11.22016568,11.22016568,0,,,,4,5316,TRUE,1329,1329,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2009,14.04019806,,1603,2,2,28.08039612,15.22,12.86039612,0,,,,2,3206,FALSE,2133,1073,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2010,13.36145036,,1870.5,4,4,53.44580142,15.22,12.50500917,0,,,,4,7482,FALSE,2143,1073,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2011,13.41000612,,1786.333333,3,3,40.23001835,15.22,12.50500917,0,,,,3,5359,FALSE,2143,1073,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2012,13.41000612,,1786.333333,3,3,40.23001835,15.22,12.50500917,0,,,,3,5359,FALSE,2143,1073,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2013,12.38388577,,2284,3,3,37.1516573,12.50500917,12.14163895,0,,,,3,6852,FALSE,2566,2143,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2014,12.26276236,,2425,3,3,36.78828708,12.50500917,12.14163895,0,,,,3,7275,FALSE,2566,2143,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2015,13.77166203,,1713.75,4,4,55.08664813,15.22,12.14163895,0,,,,4,6855,TRUE,2566,1073,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2016,15.22,,1073,1,1,15.22,15.22,15.22,0,,,,1,1073,TRUE,1073,1073,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2017,15.45472636,18.20757608,3370.666667,3,3,46.36417908,15.92417908,15.22,1,18.20757608,18.20757608,18.20757608,3,10112,FALSE,7966,1073,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2018,15.45472636,18.20757608,3370.666667,3,3,46.36417908,15.92417908,15.22,1,18.20757608,18.20757608,18.20757608,3,10112,FALSE,7966,1073,0,0,0,0,0,0,0,0,0,0,0
adult;blogsandpersonal;entertainment,2019,15.22,,1073,1,1,15.22,15.22,15.22,0,,,,1,1073,TRUE,1073,1073,0,0,0,0,0,0,0,0,0,0,0
adult;business,2001,13.34431201,14.45898005,4494,3,3,40.03293604,15.14999047,12.31233667,1,14.45898005,14.45898005,14.45898005,3,13482,FALSE,8576,2143,0,0,0,0,0,0,0,0,0,0,0
adult;business,2002,13.2454093,14.45898005,3777.75,8,8,105.9632744,15.14999047,10.80268116,2,28.9179601,14.45898005,14.45898005,8,30222,FALSE,8576,1075,0,0,0,0,0,0,0,0,0,0,0
adult;business,2003,12.69873113,14.14159302,4843.909091,11,11,139.6860424,15.14999047,9.89039489,3,42.42477907,14.45898005,13.50681897,11,53283,FALSE,17662,1985,1,0,0,3,0,0,0,0,0,0,1
adult;business,2004,12.84473843,15.23450718,3861.9,30,27,346.8079375,16.9988094,10.69096317,8,121.8760574,17.54364678,14.45898005,30,115857,FALSE,8970,523,6,3,1,11,0,0,0,0,0,1,5
adult;business,2005,13.40250898,15.38898716,3730.305556,36,29,388.6727604,16.99012135,9.097017544,9,138.5008844,17.61891908,12.63128222,36,134291,TRUE,10936,521,9,6,0,15,0,0,0,0,0,2,7
adult;business,2006,12.53089002,14.49740924,3733.886792,53,44,551.359161,16.30758696,8.610114943,16,231.9585479,17.61891908,10.86419502,53,197896,FALSE,17822,493,13,6,1,27,0,0,0,0,0,2,10
adult;business,2007,12.74395639,14.4751479,4591.824561,57,46,586.2219941,16.30229586,8.610114943,22,318.4532538,17.61891908,10.86419502,57,261734,FALSE,17822,493,12,2,0,14,0,0,0,0,0,0,10
adult;business,2008,12.67769457,14.68914405,5230.014286,70,62,786.0170636,16.25446742,8.610114943,34,499.4308977,18.35118386,10.86419502,70,366101,FALSE,18241,493,14,2,0,19,0,0,0,0,0,3,12
adult;business,2009,12.63791399,14.56000839,6194.35,60,58,732.9990113,16.25446742,8.610114943,32,465.9202686,18.31540923,10.86419502,60,371661,FALSE,18273,670,19,1,0,37,0,0,0,0,0,0,14
adult;business,2010,12.7638689,14.5014454,6027.775281,89,87,1110.456594,17.23521796,8.610114943,50,725.0722698,18.31540923,10.86419502,89,536472,FALSE,17478,670,24,2,0,48,0,2,0,0,0,0,13
adult;business,2011,12.45470612,14.52161472,6666.787611,113,111,1382.472379,16.46407148,8.610114943,73,1060.077875,17.65640897,10.86419502,113,753347,FALSE,17298,670,37,4,14,91,0,4,0,0,0,12,26
adult;business,2012,12.51981802,14.44616467,6374.203883,103,101,1264.50162,16.46407148,8.610114943,60,866.7698804,17.65640897,10.86419502,103,656543,FALSE,17686,670,20,3,15,44,0,2,3,0,0,9,17
adult;business,2013,12.85172139,14.92517178,7322.130769,130,129,1657.872059,17.91965973,9.033457485,91,1358.190632,19.71903059,12.04049591,130,951877,FALSE,22523,673,35,4,13,83,0,8,5,0,0,15,45
adult;business,2014,13.07970794,15.14330842,6952.537415,147,142,1857.318527,18.56811463,8.887637681,96,1453.757609,19.71903059,12.04049591,147,1022023,FALSE,20253,274,43,3,16,101,0,8,5,0,0,27,54
adult;business,2015,13.21357395,15.19861434,7065.285714,168,164,2167.026128,18.66727536,8.152358277,107,1626.251735,19.71903059,10.04757931,168,1186968,FALSE,29827,274,48,6,16,150,0,6,3,0,0,26,67
adult;business,2016,13.11961737,14.8864086,7059.07483,147,143,1876.105283,18.56811463,8.152358277,93,1384.435999,19.71903059,10.04757931,147,1037684,FALSE,33783,539,38,6,12,94,0,6,12,0,0,17,39
adult;business,2017,13.16675568,15.0730746,7647.947368,133,131,1724.844994,16.71569617,8.152358277,83,1251.065192,19.04980404,10.04757931,133,1017177,FALSE,41015,868,35,5,16,110,2,6,23,0,0,13,35
adult;business,2018,12.99707087,14.94105955,10066.30303,99,99,1286.710016,18.66727536,5.854041642,75,1120.579466,19.04980404,9.12067884,99,996564,FALSE,42416,868,28,7,14,108,2,4,21,0,0,15,27
adult;business,2019,12.79115109,14.65269472,9191.604396,91,91,1163.994749,16.519411,8.297259852,63,923.1197674,17.87934746,11.53803483,91,836436,FALSE,42117,868,25,2,5,51,3,1,24,0,0,19,21
adult;business;chatandmessaging,2015,12.17743024,14.74345646,10872,2,2,24.35486048,12.17743024,12.17743024,2,29.48691292,14.74345646,14.74345646,2,21744,FALSE,10872,10872,2,0,0,10,0,0,0,0,0,4,0
adult;business;chatandmessaging,2016,12.17743024,14.74345646,10872,2,2,24.35486048,12.17743024,12.17743024,2,29.48691292,14.74345646,14.74345646,2,21744,FALSE,10872,10872,2,0,0,10,0,0,0,0,0,4,0
adult;business;education,2015,13.63416534,,2621,1,1,13.63416534,13.63416534,13.63416534,0,,,,1,2621,TRUE,2621,2621,0,0,0,0,0,0,0,0,0,0,0
adult;business;entertainment,2004,10.93196172,,1432,2,2,21.86392344,10.93196172,10.93196172,0,,,,2,2864,TRUE,1432,1432,0,0,0,0,0,0,0,0,0,0,0
adult;business;entertainment,2005,12.13965981,12.74508487,3209,3,3,36.41897942,15.14999047,10.33702722,1,12.74508487,12.74508487,12.74508487,3,9627,FALSE,6052,1432,0,0,0,0,0,0,0,0,0,0,0
adult;business;entertainment,2006,10.82802277,12.2374916,4080,6,6,64.96813661,14.16426332,8.086031746,2,24.4749832,12.74508487,11.72989834,6,24480,FALSE,6536,1482,2,0,0,8,0,0,0,0,0,0,0
adult;business;entertainment,2007,11.43911775,13.97389138,3202.857143,7,7,80.07382425,14.41029568,8.38,2,27.94778276,15.20269789,12.74508487,7,22420,TRUE,6061,1427,1,0,0,4,0,0,0,0,0,0,0
adult;business;entertainment,2008,12.13089338,14.90841437,3228.6,10,10,121.3089338,15.59173376,8.38,4,59.63365749,16.60763045,12.2217632,10,32286,FALSE,6286,1427,2,0,0,8,0,0,0,0,0,0,0
adult;business;entertainment,2009,11.92568501,15.6451,2718.5,6,6,71.55411007,14.41029568,8.38,2,31.2902,15.6451,15.6451,6,16311,TRUE,4299,1232,2,0,0,8,0,0,0,0,0,0,0
adult;business;entertainment,2010,12.01799262,14.0244571,3713.692308,13,13,156.233904,16.83070657,8.38,6,84.14674259,16.07238961,12.2217632,13,48278,FALSE,6487,1232,3,0,0,9,0,0,0,0,0,0,1
adult;business;entertainment,2011,13.08568716,15.0223418,4875.235294,17,17,222.4566817,16.83070657,9.368119747,9,135.2010762,16.44523258,12.2217632,17,82879,FALSE,12293,1071,5,0,1,10,0,0,0,0,0,0,4
adult;business;entertainment,2012,12.67298391,14.989311,5240.25,16,16,202.7677425,14.98085308,9.368119747,10,149.89311,16.44523258,12.2217632,16,83844,FALSE,12293,1071,4,0,0,15,0,0,0,0,0,0,0
adult;business;entertainment,2013,12.93455132,15.08022792,6890.315789,19,19,245.756475,14.98085308,9.368119747,14,211.1231909,17.39191049,12.2217632,19,130916,FALSE,16572,1071,8,0,0,32,0,0,0,0,0,4,4
adult;business;entertainment,2014,13.27823199,15.60587275,7420.692308,26,26,345.2340318,14.98085308,9.368119747,17,265.2998367,17.39191049,12.2217632,26,192938,FALSE,16572,981,11,0,0,46,0,0,0,0,0,8,8
adult;business;entertainment,2015,13.3159611,15.39442481,7714.588235,34,34,452.7426775,17.2143625,9.368119747,24,369.4661955,17.39191049,12.2217632,34,262296,FALSE,16576,981,19,0,0,78,0,0,0,0,0,12,14
adult;business;entertainment,2016,13.30443914,15.01255027,8217.05,40,40,532.1775656,17.2143625,9.368119747,27,405.3388574,17.35372351,12.2217632,40,328682,FALSE,28879,981,20,2,0,69,0,0,1,0,0,19,18
adult;business;entertainment,2017,13.5876365,15.47541679,9591.790698,43,42,570.6807331,17.2143625,10.26395655,30,464.2625037,18.20757608,12.28138786,43,412447,FALSE,40999,981,24,6,0,91,0,3,2,0,0,29,17
adult;business;entertainment,2018,13.17679018,15.04211224,10101,38,38,500.7180267,17.11248024,10.26395655,28,421.1791426,18.20757608,12.5161,38,383838,FALSE,22889,886,19,6,0,67,0,6,1,0,0,16,22
adult;business;entertainment,2019,13.73475972,15.64155127,11866.5,26,26,357.1037528,17.11248024,10.50373854,21,328.4725766,18.73929462,12.5161,26,308529,FALSE,22889,2112,14,6,0,34,0,0,1,0,0,16,17
adult;business;informationtech,2005,12.06242059,,1704,2,2,24.12484118,12.06242059,12.06242059,0,,,,2,3408,TRUE,1704,1704,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2006,12.06242059,,1704,1,1,12.06242059,12.06242059,12.06242059,0,,,,1,1704,FALSE,1704,1704,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2007,12.06242059,,1704,2,2,24.12484118,12.06242059,12.06242059,0,,,,2,3408,FALSE,1704,1704,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2008,11.16964539,12.51592115,3667,4,4,44.67858155,12.67553922,9.952843963,2,25.0318423,12.5738667,12.4579756,4,14668,FALSE,5550,1704,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2009,11.31523195,12.5161,3694,4,4,45.2609278,12.67553922,9.954924685,2,25.0322,12.5161,12.5161,4,14776,FALSE,5482,1906,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2010,11.32348706,12.5161,3691,4,4,45.29394825,12.67553922,9.971434908,2,25.0322,12.5161,12.5161,4,14764,FALSE,5476,1906,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2011,11.32348706,12.5161,3690.5,2,2,22.64697412,12.67553922,9.971434908,1,12.5161,12.5161,12.5161,2,7381,TRUE,5476,1905,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2012,12.67553922,,1905,2,2,25.35107843,12.67553922,12.67553922,0,,,,2,3810,TRUE,1905,1905,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2013,13.008878,,2447.333333,3,3,39.02663399,13.67555556,12.67553922,0,,,,3,7342,FALSE,3532,1905,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2014,12.67553922,,1905,1,1,12.67553922,12.67553922,12.67553922,0,,,,1,1905,FALSE,1905,1905,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2015,12.67553922,,1905,2,2,25.35107843,12.67553922,12.67553922,0,,,,2,3810,FALSE,1905,1905,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2016,11.92198251,13.24136018,5540.5,2,2,23.84396502,12.67553922,11.1684258,1,13.24136018,13.24136018,13.24136018,2,11081,FALSE,9176,1905,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2017,12.67553922,,1905,2,2,25.35107843,12.67553922,12.67553922,0,,,,2,3810,FALSE,1905,1905,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2018,12.67553922,,1905,2,2,25.35107843,12.67553922,12.67553922,0,,,,2,3810,FALSE,1905,1905,0,0,0,0,0,0,0,0,0,0,0
adult;business;informationtech,2019,11.8757948,13.40145869,3856.5,4,4,47.5031792,12.67553922,11.07605039,2,26.80291737,13.40145869,13.40145869,4,15426,FALSE,5808,1905,2,0,2,8,0,0,0,0,0,0,2
adult;business;shopping,2007,13.78932508,,911,1,1,13.78932508,13.78932508,13.78932508,0,,,,1,911,TRUE,911,911,0,0,0,0,0,0,0,0,0,0,0
adult;business;shopping,2008,13.78932508,,911,2,2,27.57865017,13.78932508,13.78932508,0,,,,2,1822,FALSE,911,911,0,0,0,0,0,0,0,0,0,0,0
adult;business;shopping,2009,13.78932508,,911,1,1,13.78932508,13.78932508,13.78932508,0,,,,1,911,FALSE,911,911,0,0,0,0,0,0,0,0,0,0,0
adult;business;shopping,2010,13.78932508,,911,2,2,27.57865017,13.78932508,13.78932508,0,,,,2,1822,FALSE,911,911,0,0,0,0,0,0,0,0,0,0,0
adult;business;shopping,2011,13.78932508,,911,2,2,27.57865017,13.78932508,13.78932508,0,,,,2,1822,FALSE,911,911,0,0,0,0,0,0,0,0,0,0,0
adult;business;shopping,2012,13.54456853,15.42588865,4337.4,5,5,67.72284264,14.25780721,11.62857804,2,30.85177729,15.42588865,15.42588865,5,21687,FALSE,8278,911,0,0,0,0,0,0,0,0,0,0,0
adult;business;shopping,2013,12.5337409,14.50832485,6452.428571,7,7,87.73618628,14.25780721,9.898407058,5,72.54162424,15.42588865,13.45427322,7,45167,FALSE,10803,911,2,0,0,6,0,0,0,0,0,0,2
adult;business;shopping,2014,12.8173213,15.16012923,9437.272727,11,11,140.9905343,15.59658915,9.898407058,9,136.4411631,17.39191049,13.45427322,11,103810,FALSE,20134,911,4,0,0,14,0,0,0,0,0,6,4
adult;business;shopping,2015,12.11587038,14.8900701,8081.133333,15,15,181.7380557,15.67340868,8.68827451,11,163.7907711,17.4299955,11.66642294,15,121217,FALSE,20134,911,5,0,0,17,0,0,0,0,0,6,6
adult;business;shopping,2016,11.64644849,14.21332918,7931.25,20,20,232.9289698,15.28393907,8.68827451,17,241.6265961,18.17145992,11.66642294,20,158625,TRUE,20134,911,10,0,0,20,0,0,4,0,0,6,12
adult;business;shopping,2017,11.30781018,14.04270693,7177.181818,11,11,124.385912,15.27741253,8.68827451,9,126.3843624,18.17145992,12.28138786,11,78949,TRUE,16009,1389,6,0,0,6,0,0,4,0,0,0,6
adult;business;shopping,2018,9.320192502,12.5161,3667.5,4,4,37.28077001,10.50373854,8.136646465,2,25.0322,12.5161,12.5161,4,14670,TRUE,5683,1652,2,0,0,0,0,0,2,0,0,0,2
adult;business;shopping,2019,10.72751258,13.4142184,11935,5,5,53.63756288,13.02669699,8.731631505,4,53.6568736,14.50688674,12.5161,5,59675,FALSE,35734,1458,4,0,0,8,0,0,2,0,0,2,3
