year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2010,325,1.243076923076923,5978.203076923077,12.626977819046154,8.060088063538462,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2011,417,1.5539568345323742,6858.237410071943,12.566627669736214,9.079975410071942,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2012,476,1.5084033613445378,7228.867647058823,12.623383306218487,8.89244911829832,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2013,497,1.4949698189134808,7924.213279678069,12.582386614104628,9.432849751428572,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2014,500,1.39,8061.064,12.29875493708,9.366672910799998,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2015,508,1.4980314960629921,8286.954724409448,12.080248866515749,8.861418296240158,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2016,522,1.549808429118774,9007.164750957854,12.39839376494253,9.791433715421453,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2017,427,1.8266978922716628,10228.105386416863,12.884302366885246,10.56718526995316,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2018,350,2.585714285714286,14218.454285714286,13.101188655457142,11.623985261371427,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
2019,306,2.0947712418300655,15338.323529411764,13.13923476490196,11.9292546351634,False,business;economyandfinance;gambling - business;education;gambling - business;entertainment;gambling - business;gambling - business;gambling;games - business;gambling;shopping - business;gambling;sports - economyandfinance;gambling - education;gambling - education;gambling;informationtech - entertainment;gambling - entertainment;gambling;games - gambling - gambling;games - gambling;games;shopping - gambling;games;sports - gambling;personals - gambling;sports - gambling;travel - 
